nome,id_entidade_parlametria,partido,uf,casa,governismo,governismo_ma,peso_politico,votos_favoraveis,votos_contra,votos_indef,votos_sim_nao,apoio
Edna Henrique,1204421,PSDB,PB,camara,2.2647280778297514,0.3234725978341437,0.0446279,3,19,0,22,0.13636363636363635
Eduardo Barbosa,174655,PSDB,MG,camara,2.644079582202041,4.727657655548914,0.103909,1,0,0,1,1
Eduardo Bismarck,1204541,PDT,CE,camara,-0.14837437985473834,-1.9401537944668643,0,3,0,13,3,1
Eduardo Bolsonaro,192346,PSL,SP,camara,8.349037446720608,1.9843735404445955,0.285996,0,0,1,0,NaN
Eduardo Braide,1204552,PODE,MA,camara,-0.05983300489255683,-3.8825834893775415,NA,15,3,3,18,0.8333333333333334
Eduardo Costa,1204500,PTB,PA,camara,3.7119117197011757,-0.906787105881735,0.0817325,3,10,0,13,0.23076923076923078
Eduardo Cury,1178977,PSDB,SP,camara,3.5497799418427824,1.0250854575967505,0.0796239,1,11,0,12,0.08333333333333333
Eduardo Da Fonte,1141421,PP,PE,camara,4.042481752092728,4.797048957362406,0.095577,0,8,0,8,0
Efraim Filho,1141422,DEM,PB,camara,4.440281678560357,5.272149257536661,0.0974397,0,10,0,10,0
Eli Borges,1204364,SOLIDARIEDADE,TO,camara,2.4210362380903057,3.5191880381077763,0.124397,2,18,0,20,0.1
Eli Corrêa Filho,1160532,DEM,SP,camara,3.9274148646707054,4.916942503894916,0.33247,3,12,0,15,0.2
Elias Vaz,1204389,PSB,GO,camara,-2.8681069054198884,-4.863743169372073,0.149257,4,0,16,4,1
Elmar Nascimento,1178854,DEM,BA,camara,3.8851856337413615,6.182465021093591,0.352669,0,3,0,3,0
Emanuel Pinheiro Neto,1198783,PTB,MT,camara,2.752520624572126,-0.11036734071466903,0.132687,3,19,0,22,0.13636363636363635
Emidinho Madeira,1161550,PSB,MG,camara,1.9478425475175989,-0.16052522935463642,0.0625655,1,0,0,1,1
Enéias Reis,1207309,PSL,MG,camara,5.12127251294239,3.9246797040402885,NA,2,16,0,18,0.1111111111111111
Enio Verri,1132504,PT,PR,camara,-7.014677384494272,-7.17008310801166,0.0845337,4,0,8,4,1
Enrico Misasi,1204537,PV,SP,camara,1.6412377369621503,-1.9015655327252734,0.0367434,4,1,9,5,0.8
Erika Kokay,1160575,PT,DF,camara,-6.453196971072883,-8.186060722380688,0.164295,2,0,5,2,1
Eros Biondini,1160640,PROS,MG,camara,5.565859472799824,3.29230211942148,0.128952,0,6,0,6,0
